Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Etanol Anidro (m³/d),Capacidade Produção Etanol Hidratado (m³/d)
05/2021,RAIZEN ENERGIA S.A,08070508007261,SUDESTE,São Paulo,DOIS CORREGOS,185,430
05/2021,RAIZEN ENERGIA S.A,08070508008314,SUDESTE,São Paulo,BENTO DE ABREU,285,350
05/2021,RAIZEN ENERGIA S.A,08070508009477,SUDESTE,São Paulo,RIO DAS PEDRAS,250,370
05/2021,RAIZEN ENERGIA S.A,08070508009558,SUDESTE,São Paulo,JAU,160,550
05/2021,RAIZEN ENERGIA S.A,08070508009710,SUDESTE,São Paulo,MIRANDOPOLIS,0,360
05/2021,RAIZEN ENERGIA S.A,08070508012001,SUDESTE,São Paulo,CAPIVARI,0,320
05/2021,RAIZEN ENERGIA S.A,08070508012184,SUDESTE,São Paulo,PIRACICABA,865,1416
05/2021,RAIZEN ENERGIA S.A,08070508012265,SUDESTE,São Paulo,RAFARD,370,400
05/2021,RAIZEN ENERGIA S.A,08070508012427,SUDESTE,São Paulo,IGARAPAVA,750,970
05/2021,RAIZEN ENERGIA S.A,08070508012508,SUDESTE,São Paulo,IBATE,80,350
05/2021,RAIZEN ENERGIA S.A,08070508015795,SUDESTE,São Paulo,BOCAINA,600,750
05/2021,RAIZEN ENERGIA S.A,08070508015876,SUDESTE,São Paulo,BROTAS,0,625
05/2021,ATVOS BIOENERGIA BRENCO S.A.,08070566001173,CENTRO OESTE,Goiás,PEROLANDIA,0,1700
05/2021,ATVOS BIOENERGIA BRENCO S.A.,08070566001254,CENTRO OESTE,Goiás,MINEIROS,1500,1700
05/2021,ATVOS BIOENERGIA BRENCO S.A.,08070566001688,CENTRO OESTE,Mato Grosso do Sul,COSTA RICA,750,1700
05/2021,ATVOS BIOENERGIA BRENCO S.A.,08070566001769,CENTRO OESTE,Mato Grosso,ALTO TAQUARI,1500,1700
05/2021,DA MATA S.A. - ACUCAR E ALCOOL,08110543000173,SUDESTE,São Paulo,VALPARAISO,800,1000
05/2021,ITUIUTABA BIOENERGIA LTDA.,08164344000148,SUDESTE,Minas Gerais,ITUIUTABA,800,900
05/2021,TROPICAL BIOENERGIA S.A.,08195806000194,CENTRO OESTE,Goiás,EDEIA,1600,2100
05/2021,CERRADINHO BIOENERGIA S.A.,08322396000103,CENTRO OESTE,Goiás,CHAPADAO DO CEU,0,2800
05/2021,BIOENERGETICA AROEIRA S.A.,08355201000113,SUDESTE,Minas Gerais,TUPACIGUARA,550,744
05/2021,COMANCHE BIOCOMBUSTIVEIS DE CANITAR LTDA,08386602000130,SUDESTE,São Paulo,CANITAR,0,500
05/2021,FIGUEIRA INDUSTRIA E COMERCIO S/A - EM RECUPERACAO JUDICIAL,08391345000206,SUDESTE,São Paulo,GENERAL SALGADO,0,570
05/2021,FIGUEIRA INDUSTRIA E COMERCIO S/A - EM RECUPERACAO JUDICIAL,08391345000397,SUDESTE,São Paulo,ARACATUBA,450,700
05/2021,VALE DO TIJUCO ACUCAR E ALCOOL S.A.,08493354000127,SUDESTE,Minas Gerais,UBERABA,800,1000
05/2021,ITUMBIARA BIOENERGIA S.A.,08517600000133,CENTRO OESTE,Goiás,ITUMBIARA,800,900
05/2021,ATVOS BIOENERGIA RIO CLARO S.A.,08598391000108,CENTRO OESTE,Goiás,CACU,1200,1800
05/2021,REVATI S.A. ACUCAR E ALCOOL - EM RECUPERACAO JUDICIAL,08614277000116,SUDESTE,São Paulo,BREJO ALEGRE,920,950
05/2021,RAIZEN CENTROESTE ACUCAR E ALCOOL LTDA,08619844000399,CENTRO OESTE,Goiás,JATAI,0,2400
05/2021,USINA RIO PARDO S.A. EM RECUPERACAO JUDICIAL,08657268000102,SUDESTE,São Paulo,CERQUEIRA CESAR,0,550
05/2021,USINA PANORAMA S/A,08704527000109,CENTRO OESTE,Goiás,ITUMBIARA,400,600
05/2021,BIOENERGETICA VALE DO PARACATU SA,08793343000162,SUDESTE,Minas Gerais,JOAO PINHEIRO,600,1000
05/2021,FATIMA DO SUL AGRO-ENERGETICA S/A - ALCOOL E ACUCAR,08830263000130,CENTRO OESTE,Mato Grosso do Sul,FATIMA DO SUL,400,600
05/2021,ATVOS BIOENERGIA SANTA LUZIA S.A,08906558000142,CENTRO OESTE,Mato Grosso do Sul,NOVA ALVORADA DO SUL,900,2700
05/2021,COMPANHIA USINA SAO JOAO,08974214000170,NORDESTE,Paraíba,SANTA RITA,100,200
05/2021,CAMBUI ACUCAR E ALCOOL LTDA,09022388000104,CENTRO OESTE,Goiás,SANTA HELENA DE GOIAS,650,1480
05/2021,AGRO INDUSTRIAL TABU S.A,09053646000101,NORDESTE,Paraíba,CAAPORA,220,350
05/2021,PEDRO AFONSO BIOENERGIA LTDA,09067572000162,NORTE,Tocantins,PEDRO AFONSO,750,1500
05/2021,EBER BIO-ENERGIA E AGRICULTURA LTDA,09075242000119,CENTRO OESTE,Goiás,MONTES CLAROS DE GOIAS,0,400
05/2021,MIRIRI ALIMENTOS E BIOENERGIA S/A.,09090259000145,NORDESTE,Paraíba,SANTA RITA,360,500
05/2021,USINA MONTE ALEGRE SA,09094632000217,NORDESTE,Paraíba,MAMANGUAPE,180,250
05/2021,JAPUNGU AGROINDUSTRIAL LTDA,09357997000106,NORDESTE,Paraíba,SANTA RITA,210,510
05/2021,RAIZEN CAARAPO ACUCAR E ALCOOL LTDA,09538989000166,CENTRO OESTE,Mato Grosso do Sul,CAARAPO,1540,2100
05/2021,TRIO COMERCIO DE ACUCAR E LOGISTICA LTDA,09602407000406,SUL,Rio Grande do Sul,NOVA SANTA RITA,0,1
05/2021,USINA UNIAO E INDUSTRIA SA,10204485000199,NORDESTE,Pernambuco,PRIMAVERA,100,200
05/2021,SJC BIOENERGIA LTDA,10249419000216,CENTRO OESTE,Goiás,QUIRINOPOLIS,350,1200
05/2021,SJC BIOENERGIA LTDA,10249419000305,CENTRO OESTE,Goiás,CACHOEIRA DOURADA,1200,1280
05/2021,COOPERATIVA DO AGRONEGOCIO DA CANA-DE-ACUCAR - AGROCAN,10258246000200,NORDESTE,Pernambuco,JOAQUIM NABUCO,280,400
05/2021,COMPANHIA AGRO INDUSTRIAL DE GOIANA,10319853000144,NORDESTE,Pernambuco,GOIANA,250,280
05/2021,USINA SAO JOSE S/A,10362820000187,NORDESTE,Pernambuco,IGARASSU,90,240
05/2021,USINA IPOJUCA S/A,10384022000318,NORDESTE,Pernambuco,IPOJUCA,100,150
05/2021,DESTILARIA VEREDAS INDUSTRIA DE ACUCAR E ALCOOL LTDA,10452413000160,SUDESTE,Minas Gerais,JOAO PINHEIRO,150,300
05/2021,USINA PETRIBU SA,10645075000183,NORDESTE,Pernambuco,LAGOA DE ITAENGA,200,220
05/2021,USINA BOM JESUS S/A EM RECUPERACAO JUDICIAL,10785202000140,NORDESTE,Pernambuco,CABO DE SANTO AGOSTINHO,130,150
05/2021,USINA TRAPICHE S/A,10820645000124,NORDESTE,Pernambuco,SIRINHAEM,192,198
05/2021,USINA AYSÚ LTDA.,10921675000127,CENTRO OESTE,Mato Grosso,SORRISO,0,100
05/2021,AGRO SERRA INDUSTRIAL LTDA,11035672000159,NORDESTE,Maranhão,SAO RAIMUNDO DAS MANGABEIRAS,520,520
05/2021,BOM SUCESSO AGROINDUSTRIA S.A.,11092881000134,CENTRO OESTE,Goiás,GOIATUBA,0,600
05/2021,COOPERATIVA DO AGRONEGOCIO DOS ASSOCIADOS DA ASSOCIACAO DOS FORNECEDORES DE CANA-DE-ACUCAR,11169030000223,NORDESTE,Pernambuco,TIMBAUBA,190,330
05/2021,"PORTO SEGURO NEGOCIOS, EMPREENDIMENTOS E PARTICIPACOES SA",11689292000219,CENTRO OESTE,Mato Grosso,JACIARA,240,480
05/2021,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,11699378000737,NORDESTE,Pernambuco,VITORIA DE SANTO ANTAO,280,550
05/2021,USINA CENTRAL OLHO D'AGUA S/A,11797222000101,NORDESTE,Pernambuco,CAMUTANGA,170,250
05/2021,INDUSTRIAL PORTO RICO S A - EM RECUPERACAO JUDICIAL,12217832000224,NORDESTE,Alagoas,CAMPO ALEGRE,190,420
05/2021,S A USINA CORURIPE ACUCAR E ALCOOL,12229415000200,NORDESTE,Alagoas,CORURIPE,350,430
05/2021,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001001,SUDESTE,Minas Gerais,ITURAMA,650,700
05/2021,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001435,SUDESTE,Minas Gerais,CAMPO FLORIDO,850,900
05/2021,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001605,SUDESTE,Minas Gerais,LIMEIRA DO OESTE,350,650
05/2021,COOPERATIVA DE COLONIZACAO AGROPECUARIA E INDUSTRIAL PINDORAMA LTDA,12229753000152,NORDESTE,Alagoas,CORURIPE,160,340
05/2021,USINA CANSANCAO DE SINIMBU SA - EM RECUPERACAO JUDICIAL,12272498000201,NORDESTE,Alagoas,JEQUIA DA PRAIA,180,240
05/2021,UTINGA AÇÚCAR E ETANOL S.A.,12275715000136,NORDESTE,Alagoas,RIO LARGO,350,450
05/2021,USINA CAETE S A,12282034000286,NORDESTE,Alagoas,SAO MIGUEL DOS CAMPOS,320,500
05/2021,USINA CAETE S A,12282034000367,NORDESTE,Alagoas,IGREJA NOVA,210,270
05/2021,USINA CAETE S A,12282034000600,NORDESTE,Alagoas,MACEIO,130,220
05/2021,USINA CAETE S A,12282034001762,SUDESTE,São Paulo,PAULICEIA,550,1200
05/2021,PENEDO AGRO INDUSTRIAL S/A - EM RECUPERACAO JUDICIAL,12382008000149,NORDESTE,Alagoas,PENEDO,210,250
05/2021,COMPANHIA ACUCAREIRA CENTRAL SUMAUMA - EM RECUPERACAO JUDICIAL,12478095000132,NORDESTE,Alagoas,MARECHAL DEODORO,120,150
05/2021,USINA SANTA CLOTILDE S/A - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,12607842000195,NORDESTE,Alagoas,RIO LARGO,90,180
05/2021,USINA SERRA GRANDE SA,12706289000148,NORDESTE,Alagoas,SAO JOSE DA LAJE,180,190
05/2021,CENTRAL ACUCAREIRA SANTO ANTONIO S A,12718011000190,NORDESTE,Alagoas,SAO LUIS DO QUITUNDE,180,325
05/2021,TRIUNFO AGROINDUSTRIAL LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,12733937000155,NORDESTE,Alagoas,BOCA DA MATA,300,330
05/2021,USINA SAO JOSE DO PINHEIRO LTDA,13324215000100,NORDESTE,Sergipe,LARANJEIRAS,150,180
05/2021,DELTA SUCROENERGIA S.A.,13537735000281,SUDESTE,Minas Gerais,CONCEICAO DAS ALAGOAS,900,1000
05/2021,DELTA SUCROENERGIA S.A.,13537735000362,SUDESTE,Minas Gerais,DELTA,180,800
05/2021,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA AGROVALE,13642699000135,NORDESTE,Bahia,JUAZEIRO,600,700
05/2021,BIOFLEX AGROINDUSTRIAL S.A.,13808130000288,NORDESTE,Alagoas,SAO MIGUEL DOS CAMPOS,228,228
